azimuth_deg,altitude_deg,altitude_smooth_deg,edge_strength,x_pix,y_pix
164.50,10.3500,10.3408,43.88,550.699,117.332
165.00,10.2500,10.1683,44.32,555.705,115.451
165.50,10.1000,9.9399,44.39,560.668,113.312
166.00,10.0000,9.6066,44.75,565.719,111.517
166.50,9.8500,9.1022,43.12,570.731,109.464
167.00,9.7000,8.3559,43.43,575.768,107.454
167.50,9.6000,7.3196,44.07,580.884,105.790
168.00,9.4500,5.9986,43.17,585.968,103.867
168.50,9.3000,4.4703,44.30,591.077,101.989
169.00,-2.2000,2.8756,27.39,586.468,34.921
169.50,-2.2000,1.3793,27.08,592.309,33.955
170.00,-2.2500,0.1188,26.99,598.123,32.766
170.50,-2.2500,-0.8338,27.48,603.981,31.901
171.00,-2.2500,-1.4800,26.87,609.847,31.087
171.50,-2.2500,-1.8741,27.49,615.719,30.324
172.00,-2.2500,-2.0913,28.95,621.597,29.612
172.50,-2.2500,-2.2006,28.13,627.481,28.951
173.00,-2.3000,-2.2522,28.60,633.349,28.067
173.50,-2.3000,-2.2761,28.84,639.245,27.508
174.00,-2.3000,-2.2877,29.15,645.145,27.000
174.50,-2.3000,-2.2941,29.65,651.050,26.543
175.00,-2.3000,-2.2981,29.73,656.958,26.138
175.50,-2.3000,-2.3012,30.55,662.869,25.783
176.00,-2.3000,-2.3044,29.89,668.782,25.481
176.50,-2.3000,-2.3081,30.86,674.698,25.229
177.00,-2.3000,-2.3125,31.06,680.615,25.029
177.50,-2.3000,-2.3176,31.39,686.534,24.880
178.00,-2.3500,-2.3230,31.54,692.456,24.507
178.50,-2.3500,-2.3284,31.45,698.378,24.461
179.00,-2.3000,-2.3336,32.22,704.293,24.741
179.50,-2.3500,-2.3383,31.91,710.221,24.522
180.00,-2.3500,-2.3427,32.49,716.142,24.630
180.50,-2.3500,-2.3470,33.55,722.061,24.789
181.00,-2.3500,-2.3511,33.70,727.979,24.999
181.50,-2.3500,-2.3554,34.02,733.894,25.260
182.00,-2.3500,-2.3595,34.51,739.806,25.573
182.50,-2.3500,-2.3635,35.24,745.716,25.937
183.00,-2.4000,-2.3671,35.35,751.647,26.078
183.50,-2.4000,-2.3702,35.23,757.551,26.545
184.00,-2.3500,-2.3729,36.52,763.420,27.336
184.50,-2.3500,-2.3757,37.04,769.312,27.905
185.00,-2.4000,-2.3789,39.62,775.234,28.251
185.50,-2.3500,-2.3825,38.75,781.080,29.194
186.00,-2.4000,-2.3866,40.20,786.994,29.643
186.50,-2.4000,-2.3909,40.66,792.865,30.416
187.00,-2.4000,-2.3950,41.51,798.728,31.239
187.50,-2.4000,-2.3987,42.14,804.584,32.113
188.00,-2.4000,-2.4020,42.33,810.432,33.038
188.50,-2.4000,-2.4047,43.71,816.272,34.013
189.00,-2.4000,-2.4070,42.92,822.102,35.039
189.50,-2.4500,-2.4088,43.36,827.979,35.845
190.00,-2.4000,-2.4106,43.47,833.735,37.242
190.50,-2.4000,-2.4126,43.29,839.537,38.418
191.00,-2.4000,-2.4154,42.89,845.328,39.645
191.50,-2.4000,-2.4191,41.45,851.108,40.923
