HD,Vmag,U-B,B-V,V-R,R-I,V-Rc,Rc-Ic,u_mag,g_mag,r_mag,i_mag,z_mag,Star Name,Identity,SAO,FK5,Magnitude,Spectral class,pm_RA,pm_Dec,RA,Dec
176437,3.24,-0.08,-0.05,-0.03,-0.01,-0.03,0.01,4.14,3.12,3.39,3.60,3.76,Sulaphat,Gamma Lyrae,67663,713,3.24,B9III,-0.002,0.002,284.7359267,32.6895556
146791,3.23,0.75,0.98,0.70,0.49,0.49,0.45,5.82,3.67,2.92,2.69,2.58,Yed Posterior,Epsilon Ophiuchi,141086,605,3.24,G9.5IIIbFe-0.5,0.085,0.041,244.5803739,-4.6925094
216627,3.28,0.08,0.05,0.07,0.04,0.03,0.06,4.45,3.21,3.38,3.54,3.67,Skat,Delta Aquarii,165375,866,3.27,A3V,-0.04,-0.025,343.6625564,-15.8208272
42995,,,,,,,,,,,,,Propus,Eta Geminorum,78135,,3.28,M3III,-0.068,-0.012,93.7192500,22.5066667
137759,3.29,1.23,1.16,0.78,0.60,0.55,0.54,6.63,3.83,2.92,2.60,2.43,Edasich,Iota Draconis,29520,571,3.29,K2III,-0.009,0.017,231.2323942,58.9660650
106591,3.31,0.07,0.08,0.06,0.00,0.01,0.01,4.48,3.26,3.41,3.62,3.78,Megrez,Delta Ursae Majoris,28315,456,3.31,A3V,0.104,0.009,183.8565028,57.0326156
97633,3.35,0.08,-0.02,0.05,-0.03,0.01,-0.01,4.48,3.24,3.47,3.71,3.89,Chort,Theta Leonis,99512,423,3.34,A2V,-0.061,-0.079,168.5600186,15.4295706
97633,3.35,0.08,-0.02,0.05,-0.03,0.01,-0.01,4.48,3.24,3.47,3.71,3.89,Coxa,Theta Leonis,99512,423,3.34,A2V,-0.061,-0.079,168.5600186,15.4295706
71369,3.36,0.52,0.85,0.69,0.42,0.47,0.39,5.57,3.73,3.09,2.92,2.84,Muscida,Omicron Ursae Majoris,14573,317,3.36,G5III,-0.133,-0.107,127.5661278,60.7181700
11415,3.38,-0.62,-0.15,-0.04,-0.12,-0.05,-0.06,3.49,3.20,3.56,3.84,4.05,Navi,Epsilon Cassiopeiae,12031,63,3.38,B3III,0.032,-0.021,28.5988569,63.6701008
