Star Name,Identity,SAO,HD,FK5,Magnitude,Spectral class,RA,Dec,pm_RA,pm_Dec
Markab,Alpha Pegasi,108378,218045,871,2.49,B9V,346.19049999999993,15.205283333333334,0.063,-0.042
Matar,Eta Pegasi,90734,215182,857,2.94,G2II-III+F0V,340.75049999999993,30.221383333333332,0.015,-0.025
Mebsuta,Epsilon Geminorum,78682,48329,254,2.98,G8Ib,100.98299999999999,25.131116666666667,-0.006,-0.013
Megrez,Delta Ursae Majoris,28315,106591,456,3.31,A3V,183.85674999999998,57.0325,0.104,0.009
Meissa,Lambda Orionis,112921,36861,,3.54,O8III((f)),83.78449999999998,9.934166666666666,0.0,-0.006
Mekbuda,Zeta Geminorum,79031,52973,269,3.79,F7-G3Ib,106.02699999999999,20.570283333333332,-0.009,0.0
Menkalinan,Beta Aurigae,40750,40183,227,1.9,A2IV,89.88199999999999,44.9475,-0.057,0.0
Menkar,Alpha Ceti,110920,18884,107,2.53,M1.5IIIa,45.56999999999999,4.089716666666667,-0.009,-0.078
Menkent,Theta Centauri,205188,123139,520,2.06,K0-IIIb,211.67074999999997,-36.37,-0.519,-0.519
Menkib,Xi Persei,56856,24912,148,4.04,O7.5III(n)((f)),59.741249999999994,35.79111666666667,0.002,0.0
Merak,Beta Ursae Majoris,27876,95418,416,2.37,A1V,165.46049999999997,56.3825,0.082,0.034
Merope,23 Tauri,76172,23480,,4.18,B6IVe,56.58174999999999,23.948333333333334,0.021,-0.045
Mesarthim,Gamma Arietis,92681,11502,,4.75,A1pSi,28.382499999999997,19.293616666666665,0.079,-0.104
Miaplacidus,Beta Carinae,250495,80007,348,1.68,A2IV,138.29999999999998,-69.71721666666667,-0.162,0.108
Mimosa,Beta Crucis,240259,111123,481,1.25,B0.5III,191.92999999999998,-59.68861666666667,-0.048,-0.014
Mintaka,Delta Orionis,132220,36486,206,2.23,O9.5II,83.00174999999999,0.29916666666666664,0.001,-0.002
Mira,Omicron Ceti,129825,14386,,3.04,M7IIIe+Bep,34.83625,-2.9775,-0.008,-0.237
Mirach,Beta Andromedae,54471,6860,42,2.06,M0+IIIa,17.432999999999996,35.62055,0.178,-0.114
Mirfak,Alpha Persei,38787,20902,120,1.79,F5Ib,51.080749999999995,49.86111666666667,0.024,-0.025
Mirzam,Beta Canis Majoris,151428,44743,243,1.98,B1II-III,95.67499999999998,-17.955833333333334,-0.006,0.0
Mizar,Zeta Ursae Majoris,28737,116656,497,2.27,A1VpSrSi,200.98124999999996,54.92528333333333,0.122,-0.02
Mothallah,Alpha Trianguli,74996,11443,64,3.41,F6IV,28.2705,29.578883333333334,0.011,-0.235
Muphrid,Eta Bodtis,100766,121370,513,2.68,G0IV,208.67124999999996,18.397783333333333,-0.063,-0.358
Murzim,Beta Canis Majoris,151428,44743,243,1.98,B1II-III,95.67499999999998,-17.955833333333334,-0.006,0.0
Muscida,Omicron Ursae Majoris,14573,71369,317,3.36,G5III,127.56624999999997,60.71805,-0.133,-0.107
Naos,Zeta Puppis,198752,66811,306,2.25,O5f,120.89624999999998,-40.00333333333333,-0.027,0.012
Nashira,Gamma Capricorni,164560,206088,812,3.68,F0p,325.02299999999997,-16.662216666666666,0.19,-0.023
Nasl,Gamma Sagittarii,209696,165135,679,2.99,K0III,271.452,-30.424166666666668,-0.053,-0.185
Nath,Beta Tauri,77168,35497,202,1.65,B7III,81.573,28.6075,0.022,-0.175
Navi,Epsilon Cassiopeiae,12031,11415,63,3.38,B3III,28.598749999999995,63.67,0.032,-0.021
Nekkar,Beta Bodtis,45337,133208,555,3.5,G8IIIaBa0.3Fe-0.5,225.48674999999997,40.39055,-0.041,-0.028
Nihal,Beta Leporis,170457,36079,204,2.84,G5II,82.06124999999999,-20.75945,-0.004,-0.089
Nodus Secundus,Delta Draconis,18222,180711,723,3.07,G9III,288.13874999999996,67.66166666666666,0.094,0.093
Nunki,Delta Sagittarii,186681,168454,687,2.7,K3-IIIa*,275.24875,-29.82805,0.035,-0.028
Nusakan,Beta Coronae Borealis,83831,137909,572,3.68,F0p,231.95699999999997,29.105833333333333,-0.179,0.086
Okda,Alpha Piscium,110291,12447,,4.33,A0pSiSr,30.51175,2.7636166666666666,0.033,-0.005
Peacock,Alpha Pavonis,246574,193924,764,1.94,B2IV,306.412,-56.735,0.007,-0.089
Phact,Alpha Columbae,196059,37795,215,2.64,B7IVe,84.91199999999999,-34.07416666666666,0.007,-0.026
Phad,Gamma Ursae Majoris,28179,103287,447,2.44,A0Ve,178.45749999999998,53.694716666666665,0.095,0.012
Phecda,Gamma Ursae Majoris,28179,103287,447,2.44,A0Ve,178.45749999999998,53.694716666666665,0.095,0.012
Pherkad,Gamma Ursae Minoris,8220,137422,569,3.05,A3II-III,230.182,71.83388333333333,-0.019,0.02
Pleione,28 Tauri,76229,23862,,5.09,B8Vpe,57.296749999999996,24.136666666666667,0.013,-0.05
Polaris,Alpha Ursae Minoris,308,8890,907,2.02,F7:Ib-II,37.95299999999999,89.26416666666667,0.038,-0.015
Pollux,Beta Geminorum,79666,62509,295,1.14,K0IIIb,116.32874999999999,28.026116666666667,-0.628,-0.046
Porrima,Gamma Virginis,138917,110379,,3.65,F0V,190.41499999999996,-1.44945,-0.565,0.012
